,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
0,Proxima Centauri b,2,0.004089,,11.186,0.0485,,,110.0,,,234.0,,RV,2016.0,16/08/22,14 39 36.204,-60 50 08.23,1.295,0.12,0.141,,3050.0,,"Confirmed planets, Planets in binary systems, S-type",219.90085,-60.85619444444445,1.2949980904558258
1,Alpha Centauri B b,2,0.0035600000000000002,,3.2357,0.04,0.0,,,,,,,RV,2012.0,15/11/17,14 39 36.204,-60 50 08.23,1.295,0.907,0.865,0.23,5260.0,,"Controversial, Planets in binary systems, S-type",219.90085,-60.85619444444445,1.2949980904558258
2,Alpha Centauri B c,2,,0.08384,,,,,,,,,,transit,2015.0,15/11/17,14 39 36.204,-60 50 08.23,1.295,0.907,0.865,0.23,5260.0,,"Controversial, Planets in binary systems, S-type",219.90085,-60.85619444444445,1.2949980904558258
3,WISE 0855-0714,3,6.0,,,,,,,,,,3.0,imaging,2014.0,16/06/02,08 55 11,-07 45 17,2.31,,,,,,Confirmed planets,133.79583333333332,-7.7972222222222225,2.3099999244791576
4,Lalande 21185 b,0,0.012,,9.8693,,,,,,,,,RV,2017.0,17/02/14,11 03 20,+35 58 12,2.55,0.46,0.39299999999999996,,3828.0,,Controversial,165.83333333333334,539.55,2.5499973654607135
5,eps Eridani b,0,0.645,,2651.0,3.51,0.4,141.4,,,,,,RV,2000.0,15/11/12,03 32 55.84496,-09 27 29.7312,3.2161,0.82,0.743,-0.07,5135.0,0.7,Controversial,53.23268733333333,-9.532586666666665,3.216104746887759
6,Gliese 15 A b,2,0.01683,,11.4433,0.0717,0.0,,,,,,,RV,2014.0,15/12/12,00 18 22.88532,+44 01 22.6282,3.5869999999999997,0.375,0.3863,-0.32,3567.0,,"Confirmed planets, Planets in binary systems, S-type",4.5953555,660.3442841666666,3.586999535937613
7,tau Ceti f,0,0.020761624,,642.0,1.35,0.03,,,,,,,RV,2012.0,12/12/19,01 44 04,-15 56 15,3.65,0.7829999999999999,0.7979999999999999,-0.55,,5.8,Controversial,26.016666666666666,-15.975,3.649997034654234
8,tau Ceti e,0,0.013526513,,168.12,0.552,0.085,,,,,,,RV,2012.0,12/12/19,01 44 04,-15 56 15,3.65,0.7829999999999999,0.7979999999999999,-0.55,,5.8,Controversial,26.016666666666666,-15.975,3.649997034654234
9,tau Ceti c,0,0.009751672,,35.361999999999995,0.195,0.03,,,,,,,RV,2012.0,12/12/19,01 44 04,-15 56 15,3.65,0.7829999999999999,0.7979999999999999,-0.55,,5.8,Controversial,26.016666666666666,-15.975,3.649997034654234
